"TEMPERATURE1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1,0,0,0,0
0.8674,1,0.6,0,0,0.6
0.73824,1,1.2,0,0,1.2
0.61597,1,1.8,0,0,1.8
0.50582,1,2.4,0,0,2.4
0.40174,1,3,0,0,3
0.31981,1,3.6,0,0,3.6
0.24524,1,4.2,0,0,4.2
0.18542,1,4.8,0,0,4.8
0.13839,1,5.4,0,0,5.4
0.097742,1,6,0,0,6
0.071945,1,6.6,0,0,6.6
0.049627,1,7.2,0,0,7.2
0.034269,1,7.8,0,0,7.8
0.023406,1,8.4,0,0,8.4
0.014792,1,9,0,0,9
0.010222,1,9.6,0,0,9.6
0.0064076,1,10.2,0,0,10.2
0.0041042,1,10.8,0,0,10.8
0.0025984,1,11.4,0,0,11.4
0.0014914,1,12,0,0,12
0.00098214,1,12.6,0,0,12.6
0.00056763,1,13.2,0,0,13.2
0.00034263,1,13.8,0,0,13.8
0.00020377,1,14.4,0,0,14.4
0.00010798,1,15,0,0,15
6.8573e-05,1,15.6,0,0,15.6
3.7068e-05,1,16.2,0,0,16.2
2.1363e-05,1,16.8,0,0,16.8
1.2074e-05,1,17.4,0,0,17.4
5.9944e-06,1,18,0,0,18
3.7034e-06,1,18.6,0,0,18.6
1.8955e-06,1,19.2,0,0,19.2
1.0535e-06,1,19.8,0,0,19.8
5.7126e-07,1,20.4,0,0,20.4
2.689e-07,1,21,0,0,21
1.6264e-07,1,21.6,0,0,21.6
7.9592e-08,1,22.2,0,0,22.2
4.2984e-08,1,22.8,0,0,22.8
2.2529e-08,1,23.4,0,0,23.4
1.015e-08,1,24,0,0,24
6.0373e-09,1,24.6,0,0,24.6
2.847e-09,1,25.2,0,0,25.2
1.5024e-09,1,25.8,0,0,25.8
7.6552e-10,1,26.4,0,0,26.4
3.3258e-10,1,27,0,0,27
1.9517e-10,1,27.6,0,0,27.6
8.9226e-11,1,28.2,0,0,28.2
4.62e-11,1,28.8,0,0,28.8
2.2989e-11,1,29.4,0,0,29.4
9.6858e-12,1,30,0,0,30
5.6218e-12,1,30.6,0,0,30.6
2.5034e-12,1,31.2,0,0,31.2
1.2758e-12,1,31.8,0,0,31.8
6.2214e-13,1,32.4,0,0,32.4
2.5534e-13,1,33,0,0,33
1.4685e-13,1,33.6,0,0,33.6
6.3924e-14,1,34.2,0,0,34.2
3.2144e-14,1,34.8,0,0,34.8
1.5402e-14,1,35.4,0,0,35.4
6.1791e-15,1,36,0,0,36
3.5259e-15,1,36.6,0,0,36.6
1.5048e-15,1,37.2,0,0,37.2
7.4797e-16,1,37.8,0,0,37.8
3.5292e-16,1,38.4,0,0,38.4
1.3878e-16,1,39,0,0,39
7.8653e-17,1,39.6,0,0,39.6
3.2985e-17,1,40.2,0,0,40.2
1.6229e-17,1,40.8,0,0,40.8
7.5535e-18,1,41.4,0,0,41.4
2.9176e-18,1,42,0,0,42
1.6437e-18,1,42.6,0,0,42.6
6.7859e-19,1,43.2,0,0,43.2
3.3088e-19,1,43.8,0,0,43.8
1.5211e-19,1,44.4,0,0,44.4
5.7815e-20,1,45,0,0,45
3.24e-20,1,45.6,0,0,45.6
1.3187e-20,1,46.2,0,0,46.2
6.378e-21,1,46.8,0,0,46.8
2.8994e-21,1,47.4,0,0,47.4
1.0859e-21,1,48,0,0,48
6.0567e-22,1,48.6,0,0,48.6
2.4332e-22,1,49.2,0,0,49.2
1.1682e-22,1,49.8,0,0,49.8
5.2562e-23,1,50.4,0,0,50.4
1.9423e-23,1,51,0,0,51
1.0786e-23,1,51.6,0,0,51.6
4.2813e-24,1,52.2,0,0,52.2
2.0417e-24,1,52.8,0,0,52.8
9.0995e-25,1,53.4,0,0,53.4
3.3207e-25,1,54,0,0,54
1.8367e-25,1,54.6,0,0,54.6
7.2098e-26,1,55.2,0,0,55.2
3.417e-26,1,55.8,0,0,55.8
1.5095e-26,1,56.4,0,0,56.4
5.4458e-27,1,57,0,0,57
3.0041e-27,1,57.6,0,0,57.6
1.174e-27,1,58.2,0,0,58.2
5.6735e-28,1,58.8,0,0,58.8
2.8774e-28,1,59.4,0,0,59.4
1.7168e-28,1,60,0,0,60
